text,crowd_label,conf0,conf1,conf2,conf3,conf4
rt mention_ .mention_ deflateg glad noth us url_ saint,0,1.0,0.0,0.0,0.0,0.0
mention_ ball look littl deflat anyon catch ball one hand like deflateg sketchi,3,0.0,0.0,0.0,1.0,0.0
deflateg known bree man bradi ... nfl 's spokesman mention_ cover well better selig,0,0.6677,0.08307500000000001,0.08307500000000001,0.08307500000000001,0.08307500000000001
one librari blogger point out import issu footbal address deflateg url_,2,0.077575,0.077575,0.6897,0.077575,0.077575
wwe 's mention_ mention_ mention_ advic mention_ latest mention_ url_ deflateg,0,1.0,0.0,0.0,0.0,0.0
pass record gone roof sinc num4 rule pass allow team handl footbal deflateg,0,0.6935,0.076625,0.076625,0.076625,0.076625
rt mention_ jame franco think deflateg patriot url_,0,1.0,0.0,0.0,0.0,0.0
tom bradi sick hmmm new studi prove lie lead ill truth set free url_ deflateg,1,0.087725,0.6491,0.087725,0.087725,0.087725
deflateg superbowlhalftimeshow nonsens get michael corleon felt kay fredo end godfath ii,2,0.0,0.0,1.0,0.0,0.0
rt mention_ hey nfl money savvi footbal bank help kid re-infl save account deflateg url_,1,0.084675,0.6613,0.084675,0.084675,0.084675
furor mention_ report call out americansnip bump deflateg top news cycl,2,0.08332500000000001,0.08332500000000001,0.6667,0.08332500000000001,0.08332500000000001
mention_ thought might enjoy scientif take not favorit topic deflateg url_,0,0.6643,0.083925,0.083925,0.083925,0.083925
sad deflateg longer news leg sotu,2,0.07500000000000001,0.07500000000000001,0.7,0.07500000000000001,0.07500000000000001
share ahead write blog post physic guid t-p relationship deflateg url_,0,1.0,0.0,0.0,0.0,0.0
press confer deflateg extrem sloppi,2,0.08182500000000001,0.08182500000000001,0.6727,0.08182500000000001,0.08182500000000001
ami poehler deflateg not good joke excit game,0,1.0,0.0,0.0,0.0,0.0
deflateg affect everybodi day url_,0,0.7015,0.074625,0.074625,0.074625,0.074625
best analysi mani word peopl not read need powerpoint deflateg ballghazi superbowlxlix nfl url_,0,1.0,0.0,0.0,0.0,0.0
mention_ boob seem littl light deflateg,1,0.0,1.0,0.0,0.0,0.0
deflateg mention_ pleas showyourwork bill nye thank,0,1.0,0.0,0.0,0.0,0.0
rt mention_ deflateg crab cake smoke gouda lemon-dil sauc lettuc mozzarella balloon tweakedoutthursday 1dayonli httu_,0,0.6962,0.07594999999999999,0.07594999999999999,0.07594999999999999,0.07594999999999999
rt mention_ oh mention_ tommi sick tell stop rub ball wash hand deflateg,1,0.0875,0.65,0.0875,0.0875,0.0875
rt mention_ simul say belichick 's deflateg explan plausibl url_ via mention_ url_,0,0.6842,0.07894999999999999,0.07894999999999999,0.07894999999999999,0.07894999999999999
lay off twitter whilst deflateg blew could not stand,2,0.0,0.0,1.0,0.0,0.0
superbowl predict latest deflateg reichreport podcast mention_ mention_ url_,0,1.0,0.0,0.0,0.0,0.0
nfl execut lie deflat patsua ball realli video url_ via mention_ deflateg,0,1.0,0.0,0.0,0.0,0.0
belichick wreck deflateg,1,0.0,1.0,0.0,0.0,0.0
mention_ mention_ gronk new flat bread pizza deflateg,0,1.0,0.0,0.0,0.0,0.0
deflateg psssh celebr damag control wesley snipe kiefer sutherland ep featur moi come way url_,0,0.7,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.07500000000000001
surgeri went good.. num month count mambament mamba golak deflateg superbowlxlix mention_ url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ short stori not deflat weekend amread deflateg ike fridayread url_,0,1.0,0.0,0.0,0.0,0.0
report broke deflateg say fan threaten,0,1.0,0.0,0.0,0.0,0.0
ridicul mention_ crucifi patriot deflateg learn ref not record psi game afterthought,4,0.08925,0.08925,0.08925,0.08925,0.643
rt mention_ tbt winter num4 deflateg southi super bowl xlix gopat url_,4,0.089275,0.089275,0.089275,0.089275,0.6429
new england cheat t-shirt buy url_ superbowl newenglandpatriot deflateg bradi url_,3,0.08050000000000002,0.08050000000000002,0.08050000000000002,0.6779999999999999,0.08050000000000002
rad bill nye screw deflateg give f mention_ climatechang instead url_ climat uspoli,2,0.07500000000000001,0.07500000000000001,0.7,0.07500000000000001,0.07500000000000001
mention_ mention_ aaron hernandez hold deflateg patriot footbal url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ exact psi ball not log game halftim deflateg url_,0,1.0,0.0,0.0,0.0,0.0
.mention_ amazingli identifi num2 num2 psi inflat footbal conan tonight deflateg url_,0,0.6809999999999999,0.07975000000000002,0.07975000000000002,0.07975000000000002,0.07975000000000002
rt mention_ seahawk fan pleas learn drive tire learn deflateg new way sincer phoenixu_,1,0.08475000000000002,0.6609999999999999,0.08475000000000002,0.08475000000000002,0.08475000000000002
analysi deflateg url_,0,1.0,0.0,0.0,0.0,0.0
dean blandino deflateg wasnuat sting psi footbal werenuat log come word vs word deflateg,2,0.08050000000000002,0.08050000000000002,0.6779999999999999,0.08050000000000002,0.08050000000000002
favorit player time mention_ speak truth ridicul deflateg call mention_ best brand sport,4,0.0,0.0,0.0,0.0,1.0
hey nfl money savvi footbal bank help kid re-infl save account deflateg url_,0,0.6576,0.08560000000000001,0.08560000000000001,0.08560000000000001,0.08560000000000001
real deflateg nfl 's deflat tax bill url_ superbowlxlix superbowl deflatethi url_,0,0.6833,0.079175,0.079175,0.079175,0.079175
katyperri 'noth perform deflat ooo not script deflateg,1,0.0,1.0,0.0,0.0,0.0
.mention_ perform might not deflat pump jam possibl deflateg,1,0.0,1.0,0.0,0.0,0.0
guilti parti deflateg url_,3,0.08482500000000001,0.08482500000000001,0.08482500000000001,0.6607,0.08482500000000001
deflat tombradi 's ball justinbieb photoshop deflateg bieberg url_,1,0.0,1.0,0.0,0.0,0.0
senat deflateg send colt super bowl url_ afcchampionship colt,0,0.6548,0.08629999999999999,0.08629999999999999,0.08629999999999999,0.08629999999999999
assur noth perform deflat mention_ sbnum2 access deflateg,1,0.0,1.0,0.0,0.0,0.0
richard sherman deflateg reveal real tom bradi url_ via mention_ sbnum2 lob gohawk,0,0.6609999999999999,0.08475000000000002,0.08475000000000002,0.08475000000000002,0.08475000000000002
gladiat super bowl olivia tom bradi fitz richard sherman cytron deflateg scandalthursday,1,0.08332500000000001,0.6667,0.08332500000000001,0.08332500000000001,0.08332500000000001
rt mention_ pow job psychic twin ... deflateg supergirl deflat ball tom bradi url_,0,0.6723,0.081925,0.081925,0.081925,0.081925
attent patriot hater url_ deflateg,4,0.090525,0.090525,0.090525,0.090525,0.6379
rt mention_ thank mention_ nfl provid content hashtag ball deflateg url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ also tap water alway win deflateg url_,1,0.07727500000000001,0.6909,0.07727500000000001,0.07727500000000001,0.07727500000000001
rt mention_ mention_ a4 not seriou news topic import news stori peopl awar neu_,2,0.0,0.0,1.0,0.0,0.0
funni would give squeez deflateg nfl superbowlxlix bradiebal url_,1,0.07727500000000001,0.6909,0.07727500000000001,0.07727500000000001,0.07727500000000001
reinflat patriot footbal balloon everyon walk got jokes_u deflateg url_,1,0.0,1.0,0.0,0.0,0.0
base blandino presser unless nfl confess video need move chang procedur next year deflateg,2,0.076325,0.076325,0.6947,0.076325,0.076325
watch drew bree deflateg conan tb youtub drewbre deflateg conan url_ coco nfl footbal,0,1.0,0.0,0.0,0.0,0.0
hey nfl money savvi footbal bank help kid re-infl save account deflateg url_,0,0.6429,0.089275,0.089275,0.089275,0.089275
four thing pr pro learn deflateg url_,0,1.0,0.0,0.0,0.0,0.0
mention_ spare spygat deflateg,2,0.0819,0.0819,0.6724,0.0819,0.0819
not sure regul look alright recip come soon deflategateu_ url_,1,0.079175,0.6833,0.079175,0.079175,0.079175
mention_ holi inflat referenc tweets.. deflateg,1,0.081925,0.6723,0.081925,0.081925,0.081925
rt mention_ bill belichick blame tom bradi deflateg mention_ cold open url_ url_,0,0.6667,0.08332500000000001,0.08332500000000001,0.08332500000000001,0.08332500000000001
rt mention_ want truth deflateg not handl truth url_ snl url_,0,0.6627,0.08432500000000001,0.08432500000000001,0.08432500000000001,0.08432500000000001
rt mention_ refere say psi never record got hater deflateg,4,0.0862,0.0862,0.0862,0.0862,0.6552
found patriot gameday footbal gohawk deflateg num2thman sbnum2 superbowlxlix superbusinesstrip url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ deflateg impact superbowlxlix fan loyalti state-by-st look pat vs. seahawk popular url_,0,1.0,0.0,0.0,0.0,0.0
mention_ heard today tk comment accomplic made wonder num differ bag num2 footbal deflateg,0,1.0,0.0,0.0,0.0,0.0
drew bree talk deflateg .mention_ url_,0,1.0,0.0,0.0,0.0,0.0
johnharbaugh strike said coupl time mention_ deflateg trump nothing,2,0.07500000000000001,0.07500000000000001,0.7,0.07500000000000001,0.07500000000000001
rt mention_ 3d print combat deflateg url_ 3dprint deflateg mention_ url_,0,1.0,0.0,0.0,0.0,0.0
loui c.k deflateg hilari not stupid footbal game realli simpl mention_ url_,1,0.0,1.0,0.0,0.0,0.0
oh reinflat damn ball move deflateg,2,0.0,0.0,1.0,0.0,0.0
nfl collect fine patriot deflateg marshawnlynch not someon follow mention_,0,1.0,0.0,0.0,0.0,0.0
deflateg lol rt mention_ wait odel beckham jr ... watch tri set world record ... url_,1,0.08962500000000001,0.6415,0.08962500000000001,0.08962500000000001,0.08962500000000001
never thought doughboy edgi super-bowl timeli mention_ deflateg url_,0,0.6727,0.08182500000000001,0.08182500000000001,0.08182500000000001,0.08182500000000001
jupiterascend vs. deflateg funni testicl joke somewher,1,0.0,1.0,0.0,0.0,0.0
offic might patriot hq superbowl oneadvertis deflateg url_,0,1.0,0.0,0.0,0.0,0.0
mention_ ball look inflat deflateg,3,0.08607500000000001,0.08607500000000001,0.08607500000000001,0.6557,0.08607500000000001
mention_ enough w/ deflateg talk beat dead hors enoughalreadi deflatethi stfu,2,0.0,0.0,1.0,0.0,0.0
hey nfl money savvi footbal bank help kid re-infl save account deflateg url_,1,0.089275,0.6429,0.089275,0.089275,0.089275
rt mention_ folk deflateg investig take week ... ..becoz nfl zero proof ... end,4,0.0862,0.0862,0.0862,0.0862,0.6552
video wwe final weigh deflateg url_ url_,0,1.0,0.0,0.0,0.0,0.0
radio spot bare discuss deflateg stonewalllynch bless,0,0.6779999999999999,0.08050000000000002,0.08050000000000002,0.08050000000000002,0.08050000000000002
rt mention_ sbxlix preview num min deflateg nfc titl game stori w/ mention_ mention_ mention_ url_,0,1.0,0.0,0.0,0.0,0.0
simpl twitter search show mention_ make big inroad thank mention_ superbowl shtickfest mention_ deflateg,0,1.0,0.0,0.0,0.0,0.0
sbxlix preview num min deflateg nfc titl game stori w/ mention_ mention_ mention_ url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ invest time tom bradi 's deflateg benghazi,2,0.07455,0.07455,0.7018,0.07455,0.07455
mention_ god embarrass or mani ball head soccerballsthati deflateg,1,0.077875,0.6885,0.077875,0.077875,0.077875
investig deflateg solidworksflowsimul read blog url_ mention_ url_,0,1.0,0.0,0.0,0.0,0.0
rt mention_ hell itua tsunami hatr nice q mention_ mention_ indi writer broke deflateg htu_,0,0.6833,0.079175,0.079175,0.079175,0.079175
hell itua tsunami hatr nice q mention_ mention_ indi writer broke deflateg url_,0,0.6935,0.076625,0.076625,0.076625,0.076625
mention_ deflateg mcnugget,1,0.07455,0.7018,0.07455,0.07455,0.07455
deflateg controversi boost scienc learn editori url_ url_,0,1.0,0.0,0.0,0.0,0.0
shame seahawk player angri treat differ base histori *ahem* deflateg,0,0.6607,0.08482500000000001,0.08482500000000001,0.08482500000000001,0.08482500000000001
mention_ simul say belichick 's deflateg explan plausibl url_ via mention_ url_,0,1.0,0.0,0.0,0.0,0.0
okay guy let air out recess ball deflateg teacherproblem url_,1,0.0,1.0,0.0,0.0,0.0
rt mention_ next fox news obama know deflateg know darrel issa hold hear,0,0.6557,0.08607500000000001,0.08607500000000001,0.08607500000000001,0.08607500000000001
mention_ new elig signal player x-ing out deflat ball deflateg jaymohrsport,1,0.09115000000000001,0.6354,0.09115000000000001,0.09115000000000001,0.09115000000000001
deflateg see ... .. superbowlxlix url_,0,0.6727,0.08182500000000001,0.08182500000000001,0.08182500000000001,0.08182500000000001
refere say psi never record got hater deflateg,4,0.08065,0.08065,0.08065,0.08065,0.6774
itua never earli plan crisi mention_ mention_ url_ deflateg,0,1.0,0.0,0.0,0.0,0.0
mention_ patriot need num2 second bathroom break deflateg,1,0.0,1.0,0.0,0.0,0.0
okay guy ... let air out recess equip deflateg url_,1,0.0,1.0,0.0,0.0,0.0
rt mention_ keep ball inflat big game deflateg superbowl ebay url_ ad url_,0,0.6731,0.08172499999999999,0.08172499999999999,0.08172499999999999,0.08172499999999999
r greater issu deflateg superbowl year share hope intern campaign num cre8 awar humantraffick,2,0.08182500000000001,0.08182500000000001,0.6727,0.08182500000000001,0.08182500000000001
dr. power discuss psycholog behind deflateg cheater 's high url_ url_,0,0.6352,0.0912,0.0912,0.0912,0.0912
dr. power discuss psycholog behind deflateg cheater 's high url_,3,0.0,0.0,0.0,1.0,0.0
entir deflateg hing video ballboy go pee word ref not record psi measur,0,0.6842,0.07894999999999999,0.07894999999999999,0.07894999999999999,0.07894999999999999
will bet patriot fumbl come sunday deflateg,0,0.6419,0.089525,0.089525,0.089525,0.089525
rt mention_ politifact rule bill belichickua claim deflat footbal mostli true url_ deflateg,3,0.07869999999999999,0.07869999999999999,0.07869999999999999,0.6852,0.07869999999999999
rt mention_ underpressur deflateg url_,1,0.0686,0.7256,0.0686,0.0686,0.0686
mention_ deflateg glorifi distract not worth coverag got,2,0.0,0.0,1.0,0.0,0.0
omg billbelichick must lmao deflateg lol funni laugh patriot crazyu_ url_,1,0.0,1.0,0.0,0.0,0.0
rt mention_ uimention_ uh bango ... url_ ... mention_ ask deflategu_,0,1.0,0.0,0.0,0.0,0.0
kati perri 's presser live mention_ num num2 least not marshawn lynch deflateg,0,0.6769,0.08077500000000001,0.08077500000000001,0.08077500000000001,0.08077500000000001
won first place jrh scienc fair mention_ mention_ deflateg url_,0,0.6545,0.08637500000000001,0.08637500000000001,0.08637500000000001,0.08637500000000001
rt mention_ itua tsunami hatr mention_ interview guy broke deflateg url_,0,0.7037,0.074075,0.074075,0.074075,0.074075
patsnat doyourjob via author james_m_kerr sure rt url_ via mention_ deflateg rt url_,0,1.0,0.0,0.0,0.0,0.0
cri river rt mention_ itua tsunami hatr mention_ interview guy broke deflateg url_,0,0.6885,0.077875,0.077875,0.077875,0.077875
rt mention_ nfl ban robot drone superbowl nice way say bill belichick suspend du_,1,0.077575,0.6897,0.077575,0.077575,0.077575
mention_ lol season ticket holder not fan also think tom bradi greatest qb ever deflateg bullshit,4,0.083725,0.083725,0.083725,0.083725,0.6651
mention_ num day sb n u num neg nanci 's still whine abt pat deflateg shut num2 ppl listen ya wan na kill,2,0.0802,0.0802,0.6792,0.0802,0.0802
rt mention_ deflateg dean blandino state ref not log psi read either approv unapprovedu_,0,0.6786,0.08035,0.08035,0.08035,0.08035
way deflateg end point congress mandat on-board ball pressur sensor real-tim screen readout,0,0.6721,0.08197499999999999,0.08197499999999999,0.08197499999999999,0.08197499999999999
fantast seattl mention_ deflateg ballghazi sbnum2 url_,0,0.6644,0.0839,0.0839,0.0839,0.0839
